국문역명,영문역명,전산역명,전산약어,XROIS역코드,KROIS역코드,역키로정,매표단말코드,주소,노선,위도,경도,폐역여부
봉양,Bongyang,봉양,봉양,3900151,021478,021375,0175,충청북도 제천시 봉양읍 주포로8길 58,",중앙선,충북",37.130057378939284,128.12969447924294,아니오
봉정,Bongjeong,봉정_폐지,폐지,3900674,830291,830232,0474,경상북도 영천시 금호읍 관황길 22,대구선,35.92814770442073,128.90954291308518,아니오
봉천,Bongcheon,봉천,봉천,3900255,040626,040593,0372,전북특별자치도 임실군 오수면 춘향로 2177,전라선,35.58265848708119,127.31367607425344,아니오
봉화,Bonghwa,봉화,봉화,3900552,600147,600147,0105,경상북도 봉화군 봉화읍 봉화로 1072-1,영동선,36.891430246426104,128.72590054866384,아니오
부강,Bugang,부강,부강,3900068,011403,011398,0008,세종특별자치시 부강면 청연로 90,",경부선,부강화물",36.53264593403249,127.36463056855736,아니오
부강화물,Buganghwamul,부강화물,부강화,3900542,420029,420029,,세종특별자치시 연동면 응암리 589-1,부강화물선,36.5436093451566,127.34902635345,아니오
부개,Bugae,부개,부개,3900307,060160,060134,0810,인천광역시 부평구 수변로 22,경인선,37.488488209824,126.740530606695,아니오
부곡기분,,부곡기분,부곡기,3900868,A10339,A10339,,,,,,아니오
부곡차량사업소,Bugok Depot,부곡차량사업소,부곡차량,3900973,X00004,X00004,,경기도 의왕시 왕송못동로 97,,37.3184253979869,126.946747074468,아니오
부발,Bubal,부발,부발,3900967,250428,250420,0529,경기도 이천시 부발읍 신아로 87,",경강선,부발기지선,중부내륙",37.26039914846815,127.49031083687919,아니오
부발차량기,Bubal Depot,부발차량기,부발차,3900970,260031,260031,,경기도 이천시 부발읍 가산리 417,부발기지선,37.25216413786995,127.51150461604314,아니오
부산,Busan,부산,부산,3900114,014445,014417,0020,부산광역시 동구 중앙대로 206,",경부고속선,경부",35.11564743202984,129.04255403090096,아니오
부산교대,Busan Nat'l Univ. of Edu.,부산교대,부교대,3901051,750086,750086,,부산광역시 연제구 중앙대로 1196,동해선,35.1937047900208,129.079476172528,아니오
부산기지,Busan HSR B.C.,부산기지,부산기,3900890,HF0051,HF0051,0592,부산광역시 부산진구 신천대로 215,부산기지선,35.16010513828125,129.0455746124478,아니오
부산북,Busan North Connecting Line Junction,부산북,부산북,3900897,H14225,H13969,,부산광역시 동구 충장대로 255,경부고속선,35.12713135670296,129.04838014912355,아니오
부산신항,Busansinhang,부산신항,부산항,3900892,570215,570213,,부산광역시 강서구 가락대로 394,부산신항선,35.11456424277949,128.84623656648873,아니오
부산신항차량사업소,Busansinhang Depot,부산신항차량사업소,부산신항차,3900954,A70215,A70215,,부산광역시 강서구 가락대로 394,,35.1178740090207,128.846561855335,아니오
부산원동,Busan-Wondong,부산원동,부산원,3901088,750120,750120,,부산광역시 동래구 안락동 1063-1,동해선,35.193634,129.114183,아니오
부산전동차,Busan EMU Siding,부산전동차,부산전,3901053,X00016,X00016,,,,,,아니오
부산진,Busanjin,부산진,부산진,3900113,014427,014399,0144,부산광역시 동구 충장대로 255,",경부선,동해선,우암",35.12849267117634,129.0498128120285,아니오
부산진차량사업소,Busanjin Depot,부산진차량사업소,부산진차,3900956,A14427,A14427,,부산광역시 부산진구 백양대로 99,,35.1602587471033,129.037251253387,아니오
부산차량사업소,Busan Depot,부산차량사업소,부산차,3900953,A14445,A14445,,부산광역시 부산진구 백양대로 99,,35.1602587471033,129.037251253387,아니오
부산철도차량정비단,Busan Train Vehicle Maintanence Workshop,부산철도차량정비단,부단일반,3900971,X00002,X00002,,부산광역시 부산진구 신천대로 145,,35.15200757631719,129.05280007122695,아니오
